"OrphaCode","Name","DisorderGroup","gene_count","onset_count","inheritance_count","avg_prevalence"
5,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,Disorder,1,1,1,1.3558333333333332
6,"3-methylcrotonyl-CoA carboxylase deficiency",Disorder,2,1,1,1.535
7,"3C syndrome",Disorder,4,1,1,12.5
8,"47,XYY syndrome",Disorder,0,1,1,16.025
9,Tetrasomy X syndrome,Disorder,0,1,1,25.0
10,"48,XXYY syndrome",Disorder,0,1,1,0.95
11,Pentasomy X syndrome,Disorder,0,1,1,0.0
13,"6-pyruvoyl-tetrahydropterin synthase deficiency",Subtype of disorder,1,1,1,0.58412
14,Abetalipoproteinemia,Disorder,1,1,1,50.0
15,Achondroplasia,Disorder,1,1,1,11.301106451612903
16,Blue cone monochromatism,Disorder,2,1,1,1.0
17,Fatal infantile lactic acidosis with methylmalonic aciduria,Disorder,1,1,1,0.0
18,Distal renal tubular acidosis,Disorder,0,1,1,0.0
19,"2-hydroxyglutaric aciduria",Group of disorders,0,1,1,0.0
20,"3-hydroxy-3-methylglutaric aciduria",Disorder,1,1,1,0.2
22,Succinic semialdehyde dehydrogenase deficiency,Disorder,1,1,1,225.1
23,Argininosuccinic aciduria,Disorder,1,1,1,0.8
24,Fumaric aciduria,Disorder,1,1,1,20.0
25,Glutaryl-CoA dehydrogenase deficiency,Disorder,1,1,1,34.695
26,Methylmalonic acidemia with homocystinuria,Disorder,0,1,1,250.0
27,Vitamin B12-unresponsive methylmalonic acidemia,Disorder,0,1,1,0.0
28,Vitamin B12-responsive methylmalonic acidemia,Disorder,0,1,1,96.0
29,Mevalonic aciduria,Subtype of disorder,1,1,1,15.0
30,Hereditary orotic aciduria,Disorder,1,1,1,10.0
31,Oxoglutaric aciduria,Disorder,1,1,1,0.0
32,Glutathione synthetase deficiency,Disorder,0,1,1,35.0
33,Isovaleric acidemia,Disorder,1,1,1,0.798
34,Pipecolic acidemia,Disorder,0,0,0,
35,Propionic acidemia,Disorder,2,1,1,16.250866666666667
36,Acrocallosal syndrome,Disorder,2,1,1,19.0
37,Acrodermatitis enteropathica,Disorder,1,1,1,0.06666666666666667
