OrphaCode,Name,DisorderGroup,gene_count,onset_count,inheritance_count,avg_prevalence,log_avg_prevalence,has_prevalence_data,data_completeness_score,priority_score,priority_rank,priority_segment,kmeans_cluster,hierarchical_cluster,gmm_cluster,gmm_membership_confidence,is_anomaly,anomaly_score
791,Retinitis pigmentosa,Disorder,88,1,1,22.254444444444445,3.146496272665667,1,4,0.7226622735565407,1,Critical Priority,0,0,2,1.0,1,-0.09888536431559392
528084,Non-specific syndromic intellectual disability,Disorder,114,1,1,0.0,0.0,1,4,0.7,2,Critical Priority,0,0,2,1.0,1,-0.08288968462718582
227972,Toxic oil syndrome,Disorder,0,1,1,10000.0,9.210440366976517,1,3,0.625,3,Critical Priority,0,0,0,1.0,1,-0.017699558978112817
319218,Ebola hemorrhagic fever,Disorder,0,1,1,9406.666666666666,9.149280238671718,1,3,0.6230079086601303,4,Critical Priority,0,0,0,1.0,1,-0.017699558978112817
103909,Trehalase deficiency,Disorder,1,1,1,3850.0,8.25608813381491,1,4,0.6219852697727378,5,Critical Priority,0,0,2,1.0,0,0.002980641429566222
244,Primary ciliary dyskinesia,Disorder,53,1,1,24.5,3.2386784521643803,1,4,0.6182086664991603,6,Critical Priority,0,0,2,1.0,1,-0.0967268144390997
454745,Kuru,Disorder,1,1,1,1350.0,7.208600337960199,1,4,0.587866777470988,7,Critical Priority,0,0,2,1.0,0,0.003272195267384981
154,Familial isolated dilated cardiomyopathy,Disorder,53,1,1,8.803333333333333,2.282722463897794,1,4,0.5870715237509989,8,Critical Priority,0,0,2,1.0,1,-0.08765476924188054
2309,Pachyonychia congenita,Disorder,4,1,1,500.045,6.216695917410539,1,4,0.5647692583178744,9,Critical Priority,0,0,2,1.0,1,-0.0370840498725985
536,Systemic lupus erythematosus,Disorder,30,1,1,35.98,3.610377225958979,1,4,0.5597015044484992,10,Critical Priority,0,0,2,1.0,1,-0.08987159681240764
576074,Middle East respiratory syndrome,Disorder,0,1,1,1306.5,7.175872195939078,1,3,0.5587305897446904,11,Critical Priority,0,0,0,1.0,1,-0.01604639885628134
64,Alström syndrome,Disorder,1,1,1,475.0,6.16541785423142,1,4,0.5538885166442078,12,Critical Priority,0,0,2,1.0,0,0.013850543217134192
